1/rank_diff,1/rank_points_diff,1/age_diff,1/ht_diff,1/aces_last_diff,1/aces_per_avg_diff,1/aces_per_min_diff,1/aces_per_max_diff,1/df_last_diff,1/df_per_avg_diff,1/df_per_min_diff,1/df_per_max_diff,1/perc_1st_in_last_diff,1/perc_1st_in_avg_diff,1/perc_1st_in_min_diff,1/perc_1st_in_max_diff,1/perc_w_1st_last_diff,1/perc_w_1st_avg_diff,1/perc_w_1st_min_diff,1/perc_w_1st_max_diff,1/perc_w_2nd_last_diff,1/perc_w_2nd_avg_diff,1/perc_w_2nd_min_diff,1/perc_w_2nd_max_diff,res
0.0909,-0.0093,-1.0,-0.3333,-0.5,-0.3333,1.0,-1.0,-0.5,1.0,0,0.3333,0.0769,1.0,-0.3333,0.3333,-0.25,-0.1667,-0.5,-0.1111,0.0233,0.0833,0.125,0.0435,-1
-1.0,0.0526,-0.25,0.2,0.25,0.2,0,0.25,-0.25,0,0,-0.5,-0.0909,0.3333,0,0.5,0.0455,0.0769,0.25,0.0455,0.04,0,0.1111,-0.1429,1
-0.0556,0.0048,0.3333,-0.2,-0.5,0.3333,0.5,0.25,-0.25,0,1.0,-0.5,-0.0909,-0.1111,-0.2,-0.0769,0.0833,-0.3333,-0.1667,-0.2,-0.1429,-0.25,-0.5,-0.2,-1
-0.0588,0.0039,1.0,-0.2,-0.1667,-0.3333,0.5,-0.1667,-1.0,1.0,-1.0,0.2,0.0833,-0.3333,-0.125,0.3333,0.0455,0.25,-0.25,0.0667,0.1111,-0.5,-0.25,0.1111,-1
0.013,-0.0016,0.25,0.2,-0.2,-0.5,-0.2,1.0,0.5,1.0,0.5,0,0.1667,-0.1667,-0.1,0.5,-0.0909,-0.3333,0.25,-0.1667,0.2,0.0833,-0.3333,0.0625,-1
-0.0091,0.0005,1.0,-0.0833,1.0,-1.0,0,-0.5,-0.5,-1.0,0,0,0.0556,0.05,0.1,0.0333,-0.2,-0.1111,-0.1,-0.0476,-0.0588,0.5,-0.2,0.0833,1
0.0152,-0.0006,0.25,0.1,-0.5,0,0,1.0,-0.3333,1.0,0,0.5,0.1111,-0.1,-0.1667,-0.0588,0.0833,0.2,-1.0,0.0526,0.0909,-0.125,-0.0476,-0.0833,-1
0.0111,-0.0015,0,0.2,0.5,1.0,0.5,0,0,0,0,0,-0.0833,-0.0625,-0.1667,-0.0526,0,0.125,0.1111,0.0667,0.125,-0.2,0.25,-0.0833,1
0.0256,-0.0033,-1.0,0.2,-0.25,-1.0,-1.0,-1.0,0.25,1.0,-0.5,0.3333,-0.1667,-0.5,-0.3333,-0.1667,0.1429,-1.0,-0.25,0.1429,-0.0714,-0.0833,-0.0294,0.3333,1
0.0164,-0.0031,-0.1,0.1,1.0,0.5,0.5,0.5,1.0,1.0,0,0.5,-0.25,-0.0625,-0.2,-0.0455,0.25,0.25,0.0909,0,-0.3333,0.2,0.1111,-0.3333,1
-0.0127,0.0016,-1.0,-0.125,-1.0,-0.5,-0.3333,-1.0,0,-0.25,0,-0.3333,-0.0625,0.1,0.125,0.3333,-0.1667,-0.0833,-0.0833,-0.1667,0.0769,0.0526,0.0714,0.04,1
0.0256,-0.0043,-0.1111,0.1,0.125,0.2,0,0.1429,1.0,0.3333,0.5,0.1667,-0.0769,-0.0476,-0.0588,-0.0417,-0.25,-1.0,0,-0.25,0.0222,0.1429,-0.125,0.0667,-1
-0.04,0.0007,0.25,-0.1667,0,0.5,-0.5,0.2,1.0,0.2,0.3333,0.1111,1.0,-1.0,-1.0,0.5,-0.25,-0.3333,-0.1667,0,0.125,-0.1667,-0.125,-0.05,-1
0.1,-0.0053,1.0,0.0909,0,0.125,0.1,0.5,1.0,-0.5,-0.5,-0.5,-1.0,1.0,-0.3333,1.0,1.0,0.1111,0.0833,0.1667,-0.1667,-1.0,-0.1667,0.2,1
0.0278,-0.0007,0.3333,-0.5,-0.0769,-0.1,-0.1429,-0.0769,-0.5,-0.1667,-0.3333,-0.1,-0.0714,-0.5,0,-0.125,-0.0714,-1.0,0,-0.2,0.2,0.0833,0.0556,0.125,-1
0.0714,-0.013,0,-0.0833,-0.1,-0.2,-0.125,-0.5,0.1667,0.3333,0.5,0.25,-0.0909,-0.125,-0.125,-0.0909,-0.1111,-0.25,-0.25,-0.5,-0.0476,0.5,0.0909,-0.0833,-1
