1/rank_diff,1/rank_points_diff,1/age_diff,1/ht_diff,1/aces_last_diff,1/aces_per_avg_diff,1/aces_per_min_diff,1/aces_per_max_diff,1/df_last_diff,1/df_per_avg_diff,1/df_per_min_diff,1/df_per_max_diff,1/perc_1st_in_last_diff,1/perc_1st_in_avg_diff,1/perc_1st_in_min_diff,1/perc_1st_in_max_diff,1/perc_w_1st_last_diff,1/perc_w_1st_avg_diff,1/perc_w_1st_min_diff,1/perc_w_1st_max_diff,1/perc_w_2nd_last_diff,1/perc_w_2nd_avg_diff,1/perc_w_2nd_min_diff,1/perc_w_2nd_max_diff,res
0.0909,-0.0007,-0.125,0,-0.5,0.25,0.25,0.2,0.5,0,1.0,-0.5,0.125,0.1429,0.0588,0.125,-0.0714,-0.2,0.3333,-0.1,0.125,-0.5,-0.1429,-0.3333,1
0.05,-0.0004,0.1429,-0.3333,0.2,-0.25,1.0,-0.0833,-0.3333,-1.0,-0.5,-1.0,0.1667,-1.0,1.0,0.5,0.0714,-1.0,-0.5,0,0.0233,0.2,0.0714,0.0833,-1
0.0072,-0.0006,0.1667,-0.0769,0,0,1.0,-0.2,0.5,0,-1.0,0,0.1667,1.0,-0.5,0,-0.1429,0.1,0.0526,0.125,-0.0667,-0.125,-0.1111,-0.1111,-1
0.0125,-0.0033,0.1667,0.0054,0.3333,0.3333,0.5,0.3333,1.0,0,0,-1.0,0.0714,0.5,1.0,0,-0.5,0.1429,0.1111,0.1111,0.0833,-0.1,-0.125,-0.05,1
-0.5,0.0071,0.1111,-0.0667,-0.0833,-0.2,0,-0.0833,0,-1.0,0,-1.0,-0.3333,-1.0,-0.2,0.25,0.0909,1.0,0.2,1.0,0.1429,1.0,-0.0833,0.125,-1
0.04,-0.0045,-0.1429,-0.0053,0,0,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,0.0833,0.1429,0.3333,0.1111,-0.1111,0.25,0.0667,-0.1111,-0.0556,0,-0.2,0.125,1
-0.0357,0.0009,-0.1429,0.0051,-0.5,-0.3333,1.0,-0.2,-0.5,0,0.5,-1.0,-0.5,0.0833,0.0417,0.1429,0.2,-0.1429,-0.5,-0.25,0.3333,0,0.1667,-0.3333,1
0.5,-0.0017,0.5,0.5,-0.3333,-0.0909,-0.25,-0.0556,0.3333,0,-0.5,1.0,-0.0345,-0.0909,-0.0625,-0.1,-0.0833,-0.2,-0.0833,0.1667,0.3333,0.1111,0.3333,0.05,1
-0.0087,0.0015,0.1,0.0052,0.5,0.5,0.5,0.3333,0.5,1.0,1.0,0,0.1111,0.125,0.0833,0.2,0.3333,0.1429,0.3333,0.0588,-0.0244,-0.0526,-0.1667,-0.0313,1
-0.0087,0.0015,0.0714,0.0055,-1.0,1.0,1.0,0.5,0,-1.0,0,-1.0,0.0833,0.125,0.1111,0.125,-0.1429,0,0.1429,-0.2,-0.0345,-0.1667,0.5,-0.0588,-1
-0.25,0.0085,0.0909,0.0052,-0.1429,-0.5,0,-0.2,-1.0,0,1.0,-1.0,0.1111,0.0909,0.0556,1.0,0.5,0.25,0,0.0714,-0.0769,-0.0909,-0.5,-0.05,1
0.1429,-0.0019,0.125,0.2,0.125,0.1429,0.125,0.2,1.0,1.0,1.0,-1.0,1.0,-0.2,-0.1667,-0.25,0.5,0.0909,0.1,0,-0.125,-0.1111,0.1,-0.0417,-1
-0.1,0.0014,-0.1,0.0769,0,1.0,0,1.0,-1.0,0,-1.0,0,0.0833,0.1111,0.1,0.0909,-0.0714,-0.125,-0.0833,0.2,-0.1111,1.0,-0.0909,0.5,1
